
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Mon Jan 27 12:02:10 2014


 1390824130.761369	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824130.817723	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824130.871139	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824130.92257	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824130.971877	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.021049	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.07274	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.126302	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.181141	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.253289	0.000000	STA	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.283307	0.000000	STA	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.312317	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.340573	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.382056	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.42637	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.452239	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.489166	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.534534	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.557386	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.591659	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.632247	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.67511	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.697213	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.732215	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.778025	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.817469	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.850177	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.892903	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.918319	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.964638	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824131.988337	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.029685	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.074408	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.096402	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.129686	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.17526	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.198872	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.242323	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.271461	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.30703	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.346634	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.387542	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.430228	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.457817	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.492286	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.526403	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.571803	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.601719	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.654537	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.693867	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.728058	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.773327	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.811569	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.854046	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.881675	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.919893	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824132.956681	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.001652	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.031558	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.082783	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.107157	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.150448	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.196745	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.231652	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.278247	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.311941	0.000000	STA	v1 	 1.696086	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.352089	0.000000	STA	v1 	 21.860451	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.376709	0.000000	STA	v1 	 21.860451	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.422333	0.000000	STA	v1 	 21.860451	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.463554	0.000000	STA	v1 	 21.860451	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.491331	0.000000	STA	v1 	 21.860451	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
 1390824133.540753	0.000000	STA	v1 	 21.860451	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 30.0	
