
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Mon Jan 27 15:01:37 2014


 1390834897.273962	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.90	PF 	 40.0	
 1390834897.324754	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.90	PF 	 40.0	
 1390834897.383884	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.90	PF 	 40.0	
 1390834897.439157	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.90	PF 	 40.0	
 1390834897.487365	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.90	PF 	 40.0	
 1390834897.538451	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.88	PF 	 40.0	
 1390834897.595034	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.88	PF 	 40.0	
 1390834897.652502	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.88	PF 	 40.0	
 1390834897.712253	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.88	PF 	 40.0	
 1390834897.767282	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 -2.88	PF 	 40.0	
 1390834897.826959	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834897.881273	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834897.933571	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834897.989631	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.045278	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.098721	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.15401	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.206288	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.258945	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.314718	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.373006	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.430549	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.485019	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.544582	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.601446	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.652253	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.706392	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.761023	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.814325	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.870152	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.927135	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834898.985709	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.044003	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.094421	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.148927	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.204563	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.255234	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.306835	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.367473	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.424301	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.479537	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.53548	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.586413	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
