
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 13:59:36 2014


 1390917576.705683	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 30.0	
 1390917576.747945	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 30.0	
 1390917576.799469	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 30.0	
 1390917576.851637	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 30.0	
 1390917576.90123	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 30.0	
 1390917576.952813	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.007489	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.055887	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.108942	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.160245	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.213724	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.263722	0.000000	OFF	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.313364	0.000000	OFF	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.363763	0.000000	OFF	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917577.41561	0.000000	OFF	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
