
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 14:01:52 2014


 1390917712.522292	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.572837	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.625209	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.674053	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.722964	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.776293	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	p1 	 6.143547	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.825261	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.877357	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.92685	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 15.0	
 1390917712.975349	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.022611	0.000000	OFF	v1 	 16.405285	a1 	 0.385817	p1 	 6.329436	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.070863	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.123983	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.175064	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.221861	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.27077	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.325974	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.376953	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.428171	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.478417	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.527213	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.575199	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.622945	0.000000	OFF	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.693732	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.722	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917713.750554	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
