
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Fri Jan 24 12:34:42 2014


 1390566882.803474	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.1	
 1390566882.850423	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.1	
 1390566882.904955	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.1	
 1390566882.955347	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.1	
 1390566883.01023	0.000000	OFF	v1 	 16.405285	a1 	 0.374486	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.1	
 1390566883.065489	0.000000	OFF	v1 	 16.405285	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.120008	0.000000	OFF	v1 	 16.405285	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.172255	0.000000	OFF	v1 	 16.405285	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.227283	0.000000	OFF	v1 	 16.405285	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.283801	0.000000	OFF	v1 	 16.405285	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.339408	0.000000	OFF	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.393985	0.000000	OFF	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.448516	0.000000	OFF	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.517547	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.539918	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.576886	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.623228	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.650786	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.693458	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.73191	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.770733	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.800077	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.836991	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.871386	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.911324	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.950222	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566883.987454	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.040211	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.070743	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.117325	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.146514	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.181037	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.218869	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.259371	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.297065	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.343013	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.3701	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.413307	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.4546	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.499767	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.527671	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.566173	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.611592	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.652899	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.690633	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.721227	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.774453	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.810535	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.84139	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.879129	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.917704	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566884.963457	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.004328	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.031578	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.069379	0.000000	STA	v1 	 0.001279	a1 	 0.380151	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.106331	0.000000	STA	v1 	 0.001279	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.153922	0.000000	STA	v1 	 0.001279	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.192025	0.000000	STA	v1 	 0.001279	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.237785	0.000000	STA	v1 	 0.001279	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.279619	0.000000	STA	v1 	 0.001279	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.310719	0.000000	STA	v1 	 0.001279	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.348886	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.392979	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.42185	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.460148	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.511548	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.5473	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.577693	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.621946	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.661716	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.692103	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.731262	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.768583	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.80723	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.842297	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.880617	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.919402	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566885.957471	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.001446	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.031576	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.067421	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.110952	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.152557	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.187997	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.23356	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.272868	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.309989	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.349992	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.389677	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.428204	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.474265	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.514623	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.553493	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.580313	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.625287	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.66498	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.691802	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.730454	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.768185	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.808334	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.851597	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.891912	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.931247	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566886.973828	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566887.015732	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566887.051109	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
 1390566887.093482	0.000000	STA	v1 	 21.001535	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	PF 	 39.0	
